StationNumber,StationName,Alt,longitude,latitude,County,Address,datatime,Auto
C1AC50,關渡,111,121.4693,25.1335,臺北市,北投區學園路2號(臺北城市科技大學校園內5樓頂),1992/5/20,1
C1C510,水尾,106,121.0872,24.9401,桃園市,楊梅區豐野里1鄰151號(富崗水尾工作站內),1987/6/1,1
C1D380,新埔,65,121.0383,24.8475,新竹縣,新埔鎮下寮里43號義民廟右方路旁,1987/6/1,1
C1D400,鳥嘴山,839,121.2839,24.7191,新竹縣,尖石鄉新樂村復興礦場,1987/6/1,1
C1D410,白蘭,1290,121.0799,24.5794,新竹縣,五峰鄉桃山村,1987/6/1,1
C1D420,太閣南,1279,121.1606,24.6328,新竹縣,五峰鄉羅山工作站後方山頂羅山瞭望台旁,1987/6/1,1
C1D630,飛鳳山,462,121.1192,24.7665,新竹縣,芎林鄉王爺坑段83-7號地,2011/12/1,1
C1D640,外坪(五指山),718,121.091,24.6444,新竹縣,北埔鄉大坪段內大坪小段36-54號地,2011/12/1,1
C1E451,象鼻,950,120.9402,24.3686,苗栗縣,泰安鄉象鼻村,2011/11/1,1
C1E461,松安,1325,120.986,24.398,苗栗縣,泰安鄉雪霸國家公園二本松解說站旁,2011/11/1,1
C1E480,鳳美,576,121.0347,24.5548,苗栗縣,南庄鄉東河村24鄰石門1號(南庄往鹿場途中),1990/7/21,1
C1E511,新開,326,120.827,24.3477,苗栗縣,大湖鄉新開村新開4鄰20號旁,2011/11/1,1
C1E601,南勢,125,120.7348,24.5725,苗栗縣,後龍鎮南港里南勢山,2011/11/1,1
C1E670,南礦,1209,121.0028,24.5383,苗栗縣,南庄鄉蓬萊林道末端(南庄事業區18林班地),2002/8/1,1
C1E681,南勢山,977,120.9238,24.4217,苗栗縣,泰安鄉大興村(從泰安國小進入站址車程約10分鐘),2011/11/1,1
C1E691,南湖,786,120.8375,24.4014,苗栗縣,大湖鄉(位於南湖台3線135k處之吊樑道山上),2011/11/1,1
C1E701,八卦,737,120.9276,24.4918,苗栗縣,泰安鄉(與八卦派出所相距約1.2k處),2011/11/1,1
C1E711,馬拉邦山,990,120.9017,24.3673,苗栗縣,大湖鄉東興村(馬拉邦山登山口),2011/11/1,1
C1E721,泰安,1409,120.968,24.489,苗栗縣,泰安鄉橫龍古道上(走路約5分鐘)之大湖事業區18林班地,2011/11/1,1
C1E770,公館,83,120.8308,24.5269,苗栗縣,公館鄉鶴岡村178號(鶴岡國中),2011/11/1,1
C1F871,上谷關,1000,121.0186,24.2035,臺中市,和平區(博愛國小谷關分校附近),2011/11/1,1
C1F891,稍來,2205,121.0011,24.2657,臺中市,和平區八仙山事業區49林班地船型山苗圃廢棄觀測坪附近,2011/11/1,1
C1F911,新伯公,417,120.8411,24.2214,臺中市,東勢區詒福段163地號(台電公司門前右前方),2011/11/1,1
C1F941,雪嶺,2620,121.0266,24.2806,臺中市,和平區雪嶺地區八仙山事業區60林班地小雪山莊後方水塔後山頂,2011/11/1,1
C1F9B1,桐林,130,120.7352,24.0662,臺中市,霧峰區桐林里民生路(桐林國小斜對面),2011/11/1,1
C1F9C1,白冷,610,120.9299,24.1828,臺中市,和平區天輪里天輪巷42號(臺中市和平區白冷國民小學校園內),2011/11/1,1
C1F9D1,白毛台,639,120.8869,24.1583,臺中市,新社區福興里福民路13號旁,2011/11/1,1
C1F9E1,龍安,563,120.832,24.1605,臺中市,新社區中和里內(距龍安橋約1.2k處),2011/11/1,1
C1F9F1,伯公龍,500,120.849,24.2724,臺中市,東勢區勢林街(宏覺寺旁),2011/11/1,1
C1F9G1,慶福山,810,120.8484,24.1809,臺中市,東勢區(台8線10.5k往馬鞍農場方向.車程約半小時),2011/11/1,1
C1F9H1,烏石坑,930,120.9458,24.2791,臺中市,和平區大安溪事業區第122林班之烏石坑苗圃內,2011/11/1,1
C1F9J1,清水林,723,120.8204,24.0712,臺中市,太平區136縣道9.5k處旁約500公尺,2011/11/1,1
C1F9W0,德基,1970,121.1903,24.2548,臺中市,和平區台8甲線69-70k處，彎入勝利路接翠巒產業道路約6.2km，路邊白色水塔旁,2011/11/1,1
C1G691,下水埔,110,120.5676,23.8161,彰化縣,溪州鄉大莊國小(大庄村中橫巷1號),2011/10/6,1
C1H000,翠峰,2454,121.2052,24.1094,南投縣,仁愛鄉翠峰段30地號東側旁(臺14甲線19-19.5k處的長途通信機房旁),1992/7/1,1
C1H860,瑞岩,1840,121.1835,24.1238,南投縣,仁愛鄉,1992/5/1,1
C1H900,清流,934,120.963,24.0808,南投縣,仁愛鄉互助村,1992/5/1,1
C1H920,長豐,736,120.8799,24.102,南投縣,國姓鄉長豐村東二巷71號(仙徠山莊內),1992/5/1,1
C1H941,雙冬,630,120.8022,23.9674,南投縣,草屯鎮雙冬里,2011/11/1,1
C1H971,六分寮,428,120.6378,23.9251,南投縣,南投市鳳鳴里八卦路831號(南投縣政府消防局第一大隊鳳鳴分隊),2011/11/1,1
C1H9B1,阿眉,1710,120.9947,24.1263,南投縣,仁愛鄉(水利局雨量站旁),2011/11/1,1
C1I020,萬大,1120,121.1323,23.9798,南投縣,仁愛鄉親愛村萬大水庫宿舍旁,1992/7/1,1
C1I030,武界,948,121.0525,23.9132,南投縣,仁愛鄉法治村,1992/7/1,1
C1I050,丹大,2568,121.1411,23.7537,南投縣,信義鄉丹大事業區第10林班地(瞭望臺旁),1992/7/1,1
C1I070,和社,825,120.8889,23.5911,南投縣,信義鄉中橫同富村同和巷47號和社分社觀測坪內,1992/7/1,1
C1I101,溪頭,1810,120.8076,23.6618,南投縣,鹿谷鄉內湖村森林巷溪頭林營區(鳳凰山瞭望台旁),2011/11/1,1
C1I121,大鞍,1515,120.76,23.6784,南投縣,竹山鎮樟空倫山之三角點附近,2011/11/1,1
C1I131,桶頭,311,120.6541,23.6419,南投縣,竹山鎮鯉南路338號旁,2011/11/1,1
C1I140,卡奈托灣,1700,121.0879,23.7544,南投縣,信義鄉丹大事業區第16林班地,1993/3/1,1
C1I150,青雲,393,120.9494,23.7934,南投縣,信義鄉地利村5鄰開信巷98-3號旁,1993/3/1,1
C1I201,中心崙,677,120.7121,23.7287,南投縣,竹山鎮之中心崙林道4.1km處,2011/11/1,1
C1I211,蘆竹湳,529,120.812,23.934,南投縣,中寮鄉清水村龍林巷4鄰58之6號旁,2011/11/1,1
C1I220,樟湖,1098,120.847,23.9053,南投縣,國姓鄉147縣道9km處與站址直線距離約1.6km,2002/8/1,1
C1I230,九份二山,837,120.845,23.9619,南投縣,國姓鄉南港村九份二山上(921地震紀念公園內),2002/8/1,1
C1I240,外大坪,725,120.9179,23.9587,南投縣,埔里鎮種瓜路(投68)路口至站址車程約20分鐘,2002/8/1,1
C1I250,鯉潭,732,120.9911,23.9619,南投縣,埔里鎮埔里高工旁中心路2km處,2002/8/1,1
C1I260,北坑,601,121.0069,23.9246,南投縣,埔里鎮麒麟里4鄰武界路31號旁,2002/8/1,1
C1I280,埔中,439,120.6426,23.8208,南投縣,名間鄉埔中村11之3號後面,2002/8/1,1
C1I290,豐丘,1151,120.8874,23.6682,南投縣,信義鄉豐丘村豐丘產業道路末端,2002/8/1,1
C1I310,西巒,1033,120.884,23.7545,南投縣,信義鄉台21線道之人倫林道9.5k處,2002/8/1,1
C1I320,奧萬大,1275,121.1786,23.953,南投縣,仁愛鄉奧萬大森林遊樂區內(員工宿舍),2002/8/1,1
C1I330,楓樹林,1266,121.0761,23.9868,南投縣,仁愛鄉埔里事業區107林班地(臺14線近埔里市區),2002/8/1,1
C1I340,新興橋,897,120.8687,23.5633,南投縣,信義鄉臺21線新興橋附近,2002/8/1,1
C1I400,凌霄,1399,121.0045,24.0188,南投縣,仁愛鄉守城段4地號,2016/1/1,1
C1I430,翠華,2415,121.2243,24.192,南投縣,仁愛鄉翠華村華岡段70地號內,2016/1/1,1
C1I440,新高口,2540,120.8789,23.4787,南投縣,信義鄉新高口(臺18線約107.5k處路旁，對高岳營林區第31林班446號林地內),1992/5/1,1
C1I450,望鄉山,3025,120.9443,23.5942,南投縣,信義鄉巒大事業區第131林班內(郡大林道約32K附近，望鄉山三角點旁),2016/1/1,1
C1I470,杉林溪,1680,120.7864,23.6395,南投縣,竹山鎮大鞍里(杉林溪森林生態渡假園區收費亭附近，向欣谷碑旁),2016/1/1,1
C1I500,大尖山,2017,120.9949,23.8586,南投縣,仁愛鄉大尖山,2016/1/1,1
C1I510,線浸林道,1208,120.833,23.7615,南投縣,鹿谷鄉線浸林道11k附近,2016/1/1,1
C1K540,口湖,15,120.1805,23.5853,雲林縣,口湖鄉口湖村中正路一段280號(口湖消防分隊),2016/1/1,1
C1M390,龍美,1090,120.6544,23.4067,嘉義縣,番路鄉公興村隆美地區(舊地名為瀨頭)私人茶園內,1988/12/1,1
C1M400,菜瓜坪,369,120.5761,23.2519,嘉義縣,大埔鄉西興村,1988/12/1,1
C1M480,獨立山,798,120.6078,23.537,嘉義縣,竹崎鄉(阿里山鐵路獨立山站旁獨立山之三角點),1993/3/1,1
C1M600,頭凍,986,120.6033,23.4064,嘉義縣,番路鄉阿里山公路23k處轉入興社產業道路盡頭,2002/8/1,1
C1M610,石磐龍,1083,120.6635,23.4966,嘉義縣,竹崎鄉光華村,2002/8/1,1
C1M620,瑞里,1252,120.6752,23.5451,嘉義縣,梅山鄉瑞里派出所旁小路至站址(公墓旁)車程約10分鐘,2002/8/1,1
C1M640,十字,1567,120.7537,23.4922,嘉義縣,阿里山鄉十字村16號（十字國小樓頂）,2019/1/1,1
C1N001,沙崙,24,120.3094,22.9355,臺南市,歸仁區沙崙里184號北沙崙農場,2013/8/1,1
C1O850,環湖,44,120.4186,23.1486,臺南市,大內區頭社里10號(大內國小鳴頭分校內),1988/12/1,1
C1O870,大棟山,1249,120.5223,23.3116,臺南市,白河區大棟山三角點,1988/12/1,1
C1O880,關山,223,120.5941,23.1734,臺南市,南化區關山里西阿里山關83號(瑞峰國小附近),1988/12/1,1
C1O921,楠西,115,120.4841,23.1835,臺南市,楠西區中興路107號(楠西國民中學內),2013/4/18,1
C1R110,口社,110,120.6452,22.7701,屏東縣,三地門鄉口社村5鄰信義巷58-5號,1992/5/1,1
C1R120,上德文,820,120.7044,22.7633,屏東縣,三地門鄉德文村口之公墓旁,1992/5/1,1
C1R250,力里,92,120.6292,22.4281,屏東縣,春日鄉七佳村自強一路92號(力里國民小學內),1997/7/1,1
C1R290,石門山,260,120.7566,22.1126,屏東縣,牡丹鄉石門古戰場(恆春事業區29林班地),1997/12/20,1
C1R610,西大武山,1828,120.7322,22.6177,屏東縣,泰武鄉北大武山步道2.6k,2013/12/1,1
C1R630,龍泉,60,120.5909,22.667,屏東縣,內埔鄉大新路109號（屏東縣新生國民小學）,2018/8/11,1
C1S670,摩天,1580,121.027,23.1995,臺東縣,海端鄉(省道臺20線169K福德宮後方),1997/7/1,1
C1S800,華源,80,121.0233,22.6579,臺東縣,太麻里鄉華源村,2004/6/1,1
C1S820,金峰,177,120.9332,22.591,臺東縣,金峰鄉嘉蘭村嘉蘭國小旁,2004/6/1,1
