gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3308203454,8016518a-f762-11e1-a439-00145eb45e9a,2b6c15c5fe891b8c9543272b67a5a2f6,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,Makino,MX,"Nitinan, Miyazaki-ken, Nippon",,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,100,,,,25904,2,12,1970,3941101,3941101,PRESERVED_SPECIMEN,IBUNAM,MEXU,140235,,,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),E. Matuda; T. Watanabe,,,45176.70213,,CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307632287,8016518a-f762-11e1-a439-00145eb45e9a,ce69597375d65a563f76363f17f82418,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,Makino,MX,"Nitinan, Miyazaki-ken, Nippon",,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,100,,,,25904,2,12,1970,3941101,3941101,PRESERVED_SPECIMEN,IBUNAM,MEXU,161362,,,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),E. Matuda; T. Watanabe,,,45176.70219,,CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3307124397,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/76881587,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,yamamotoi,VARIETY,Mitrastemon yamamotoi var. yamamotoi,Mitrastemon yamamotoi yamamotoi,,TW,,New Taipei,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,24.687236,121.541411,30047,,,,,,41723.48125,25,3,2014,7448687,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,76881587,,王錦堯（Ong Jin Yao）,44319.3755,CC_BY_NC_4_0,王錦堯（Ong Jin Yao）,王錦堯（Ong Jin Yao）,,,45233.51381,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3301857100,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/80768723,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.902599,120.816724,30133,,,,,,42316.48264,8,11,2015,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,80768723,,羅元甫,44345.77605,CC_BY_NC_4_0,羅元甫,羅元甫,,,45233.50111,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3079638510,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/17902096,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.927956,120.977738,30133,,,,,,43401.48403,28,10,2018,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,17902096,,Hong,43401.53916,CC_BY_NC_4_0,Hong,Hong,,,45233.52352,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3059139928,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/70546480,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,yamamotoi,VARIETY,Mitrastemon yamamotoi var. yamamotoi,Mitrastemon yamamotoi yamamotoi,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,24.240642,121.633184,30090,,,,,,44256.38264,1,3,2021,7448687,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,70546480,,阿元,44259.38149,CC_BY_NC_4_0,阿元,阿元,,,45233.50036,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3018125582,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/66329288,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.902353,120.953321,30133,,,,,,44128.62222,24,10,2020,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,66329288,,山羌,44174.51561,CC_BY_NC_4_0,山羌,山羌,,,45233.51312,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3005178971,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/66609271,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.988678,120.8402,30133,,,,,,44177.68125,12,12,2020,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,66609271,,Licheng Shih,44180.50999,CC_BY_4_0,Licheng Shih,Licheng Shih,,,45233.50036,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3005166003,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/66609270,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.893918,120.881328,30133,,,,,,44177.68194,12,12,2020,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,66609270,,Licheng Shih,44180.50999,CC_BY_4_0,Licheng Shih,Licheng Shih,,,45233.50059,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3005093994,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/66609269,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.957266,120.907641,30133,,,,,,44177.68125,12,12,2020,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,66609269,,Licheng Shih,44180.50998,CC_BY_4_0,Licheng Shih,Licheng Shih,,,45233.51335,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
