Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 04:08:10 PM,24.0091,90.6931,← 283°,443,510,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:08:40 PM,24.0233,90.6269,← 283°,442,509,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:09:10 PM,24.0373,90.5615,← 283°,442,509,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:09:40 PM,24.051,90.4975,← 283°,442,509,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:10:10 PM,24.0649,90.433,← 283°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:10:40 PM,24.0788,90.3676,← 283°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:11:20 PM,24.0969,90.2819,← 283°,442,509,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:11:50 PM,24.1107,90.2166,← 283°,442,509,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:12:20 PM,24.1248,90.1496,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:12:50 PM,24.1384,90.0847,← 283°,444,511,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:13:20 PM,24.1522,90.0189,← 283°,443,510,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:13:52 PM,24.1667,89.9495,← 283°,442,509,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:14:26 PM,24.1823,89.8747,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:14:56 PM,24.1961,89.8085,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:15:26 PM,24.2097,89.7429,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:15:56 PM,24.2233,89.6774,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:16:26 PM,24.2371,89.6107,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:16:56 PM,24.2506,89.5453,← 283°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:17:26 PM,24.2641,89.4797,← 283°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:17:57 PM,24.2778,89.4129,← 283°,445,512,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:18:27 PM,24.2911,89.3476,← 283°,445,512,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:18:57 PM,24.3048,89.2809,← 283°,445,512,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:19:27 PM,24.3181,89.2153,← 283°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:19:57 PM,24.3316,89.1489,← 283°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:20:27 PM,24.3451,89.0827,← 283°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:20:57 PM,24.3584,89.0171,← 283°,445,512,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:21:27 PM,24.3711,88.9539,← 283°,445,512,"36,000", Level, FlightAware ADS-B (IXB / VEBD)
Mon 04:21:58 PM,24.385,88.8848,← 282°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:22:28 PM,24.3982,88.8195,← 282°,444,511,"36,000", Level, FlightAware ADS-B (DBD / VEDB)
Mon 04:22:58 PM,24.4118,88.7517,← 282°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:23:28 PM,24.425,88.6855,← 282°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:23:59 PM,24.4402,88.6215,← 288°,447,514,"36,000", Level, FlightAware ADS-B (IRD / VGIS)
Mon 04:24:32 PM,24.4659,88.5511,← 295°,451,519,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:25:02 PM,24.4924,88.4893,← 295°,450,518,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:25:32 PM,24.5186,88.4264,← 295°,449,517,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:26:02 PM,24.5447,88.3638,← 295°,449,517,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:26:33 PM,24.5704,88.3024,← 295°,450,518,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:27:03 PM,24.597,88.2389,← 295°,451,519,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:27:33 PM,24.623,88.1766,← 295°,451,519,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:28:03 PM,24.6491,88.1142,← 295°,452,520,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:28:33 PM,24.6743,88.0534,← 295°,453,521,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:29:03 PM,24.7015,87.9882,← 294°,454,522,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:29:33 PM,24.7274,87.925,← 294°,456,525,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:30:03 PM,24.7536,87.8611,← 294°,456,525,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:30:35 PM,24.7806,87.7953,← 294°,456,525,"36,000", Level, FlightAware ADS-B (DBD / VEDB)
Mon 04:31:05 PM,24.8078,87.7301,← 295°,456,525,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:31:35 PM,24.8343,87.6686,← 295°,458,527,"36,000", Level, FlightAware ADS-B (DBD / VEDB)
Mon 04:32:05 PM,24.8617,87.6046,← 295°,458,527,"36,000", Level, FlightAware ADS-B (DBD / VEDB)
Mon 04:32:35 PM,24.8886,87.5412,← 295°,459,528,"36,000", Level, FlightAware ADS-B (IXB / VEBD)
Mon 04:33:06 PM,24.9164,87.4757,← 295°,458,527,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 04:33:43 PM,24.9502,87.3956,← 295°,456,525,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:34:13 PM,24.977,87.3323,← 295°,456,525,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:34:43 PM,25.0033,87.2698,← 295°,456,525,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:35:13 PM,25.0303,87.2055,← 295°,455,524,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:35:43 PM,25.0568,87.1427,← 295°,455,524,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:36:14 PM,25.0836,87.0787,← 295°,456,525,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:36:44 PM,25.1101,87.0154,← 295°,456,525,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:37:28 PM,25.1477,86.9256,← 295°,452,520,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:38:00 PM,25.1761,86.8577,← 295°,451,519,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:38:30 PM,25.2018,86.7961,← 295°,450,518,"36,000", Level, FlightAware ADS-B (JSR / VGJR)
Mon 04:39:06 PM,25.2337,86.7192,← 295°,451,519,"36,000", Level, FlightAware ADS-B (DBD / VEDB)
Mon 04:39:36 PM,25.2598,86.6566,← 295°,452,520,"36,000", Level, FlightAware ADS-B (DBD / VEDB)
Mon 04:40:10 PM,25.2894,86.5853,← 295°,452,520,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:40:40 PM,25.3152,86.5229,← 295°,452,520,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:41:17 PM,25.3453,86.4434,← 289°,448,516,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:41:52 PM,25.3635,86.3673,← 281°,444,511,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:42:31 PM,25.3786,86.2813,← 281°,444,511,"36,000", Level, FlightAware ADS-B (RDP / VEDG)
Mon 04:43:02 PM,25.3921,86.2088,← 281°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:43:58 PM,25.414,86.0879,← 281°,443,510,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:44:33 PM,25.428,86.0098,← 281°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:45:03 PM,25.4404,85.9413,← 281°,442,509,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:45:33 PM,25.452,85.8764,← 281°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:46:03 PM,25.4643,85.8075,← 281°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:46:33 PM,25.4759,85.7422,← 281°,443,510,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:47:03 PM,25.4877,85.6753,← 281°,442,509,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:47:33 PM,25.4998,85.6073,← 281°,442,509,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:48:04 PM,25.5116,85.5403,← 281°,444,511,"36,000", Level, FlightAware ADS-B (CCU / VECC)
Mon 04:48:39 PM,25.5252,85.4629,← 281°,444,511,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:49:09 PM,25.5371,85.3956,← 281°,443,510,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:49:39 PM,25.5484,85.3305,← 281°,443,510,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:50:10 PM,25.5602,85.2625,← 281°,444,511,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:50:41 PM,25.5727,85.191,← 281°,443,510,"36,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 04:51:16 PM,25.5861,85.1142,← 281°,442,509,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:51:45 PM,25.6014,85.0507,← 288°,444,511,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:52:17 PM,25.6224,84.982,← 288°,445,512,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:52:47 PM,25.6414,84.9169,← 288°,447,514,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:53:17 PM,25.6604,84.8518,← 288°,446,513,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:53:47 PM,25.6798,84.7858,← 288°,445,512,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:54:17 PM,25.6986,84.7219,← 288°,442,509,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:54:47 PM,25.7176,84.6567,← 288°,442,509,"36,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 04:55:17 PM,25.7361,84.5932,← 288°,441,507,"36,000",138 Climbing, FlightAware ADS-B (PAT / VEPT)
Mon 04:55:52 PM,25.758,84.5182,← 288°,444,511,"36,150",531 Climbing, FlightAware ADS-B (DBR / VEDH)
Mon 04:56:22 PM,25.7774,84.4514,← 288°,448,516,"36,575","1,025 Climbing", FlightAware ADS-B (DBR / VEDH)
Mon 04:56:52 PM,25.7964,84.3863,← 288°,448,516,"37,175",984 Climbing, FlightAware ADS-B (DBR / VEDH)
Mon 04:57:23 PM,25.8155,84.3201,← 288°,449,517,"37,575",836 Climbing, FlightAware ADS-B (DBR / VEDH)
Mon 04:57:53 PM,25.8347,84.2538,← 288°,441,507,"38,025",425 Climbing, FlightAware ADS-B (DBR / VEDH)
Mon 04:58:23 PM,25.8535,84.1887,← 288°,443,510,"38,000",-25 Descending, FlightAware ADS-B (DBR / VEDH)
Mon 04:58:53 PM,25.8722,84.1236,← 288°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 04:59:24 PM,25.8912,84.0578,← 288°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 04:59:54 PM,25.9096,83.9934,← 288°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:00:24 PM,25.9286,83.9274,← 288°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:00:54 PM,25.9471,83.8625,← 288°,444,511,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:01:24 PM,25.966,83.7965,← 288°,445,512,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:01:54 PM,25.9844,83.7316,← 288°,446,513,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:02:24 PM,26.0032,83.666,← 287°,444,511,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:02:55 PM,26.0218,83.6003,← 288°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:03:25 PM,26.0407,83.5336,← 287°,443,510,"38,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 05:03:55 PM,26.0588,83.4693,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:04:25 PM,26.0775,83.4031,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:04:56 PM,26.0957,83.3386,← 287°,442,509,"38,000", Level, FlightAware ADS-B (PAT / VEPT)
Mon 05:05:26 PM,26.1143,83.2725,← 287°,442,509,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:05:56 PM,26.1326,83.2073,← 287°,442,509,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:06:26 PM,26.151,83.1415,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:06:56 PM,26.1688,83.0776,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:07:26 PM,26.1875,83.0108,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:07:56 PM,26.2052,82.947,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:08:27 PM,26.2235,82.8813,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:08:57 PM,26.2419,82.8149,← 287°,443,510,"38,000", Level, FlightAware ADS-B (DBR / VEDH)
Mon 05:10:48 PM,26.3092,82.5713,← 287°,445,512,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:11:39 PM,26.3395,82.4607,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:12:27 PM,26.3689,82.3531,← 287°,448,516,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:13:08 PM,26.3933,82.2638,← 287°,447,514,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:13:39 PM,26.4121,82.1949,← 287°,447,514,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:14:09 PM,26.4297,82.1301,← 287°,446,513,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:14:43 PM,26.45,82.0554,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:15:13 PM,26.4681,81.9884,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:15:43 PM,26.4855,81.9239,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:16:13 PM,26.5034,81.8572,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:16:43 PM,26.5216,81.7897,← 287°,447,514,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:17:13 PM,26.539,81.7245,← 287°,447,514,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:17:43 PM,26.5572,81.6567,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:18:14 PM,26.575,81.5902,← 287°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:18:44 PM,26.5924,81.525,← 287°,444,511,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:19:14 PM,26.6102,81.4581,← 287°,444,511,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:19:44 PM,26.6277,81.3921,← 286°,445,512,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:20:14 PM,26.6452,81.3259,← 286°,447,514,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:20:44 PM,26.6632,81.2579,← 286°,448,516,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:21:14 PM,26.6807,81.1919,← 286°,448,516,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:21:45 PM,26.6983,81.1249,← 286°,447,514,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:22:15 PM,26.7158,81.0582,← 286°,446,513,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:22:46 PM,26.7351,80.9879,← 290°,446,513,"38,000", Level, FlightAware ADS-B (VIDD)
Mon 05:23:18 PM,26.761,80.921,← 297°,448,516,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:24:02 PM,26.8075,80.8348,← 305°,453,521,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:24:32 PM,26.8464,80.78,← 311°,456,525,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:25:02 PM,26.8874,80.7268,← 310°,457,526,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:25:32 PM,26.9296,80.6709,← 310°,459,528,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:26:02 PM,26.9712,80.6162,← 310°,460,529,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:26:32 PM,27.0114,80.5633,← 310°,460,529,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:26:56 PM,27.0445,80.5197,← 309°,459,528,"38,000", Level, FlightAware ADS-B (VIBL)
Mon 05:27:48 PM,27.0927,80.4086,← 293°,450,518,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:28:19 PM,27.1177,80.3456,← 294°,450,518,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:28:49 PM,27.143,80.2811,← 293°,448,516,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:29:19 PM,27.1685,80.2152,← 293°,450,518,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:29:49 PM,27.1928,80.152,← 293°,451,519,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:30:19 PM,27.2177,80.0874,← 293°,452,520,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:30:49 PM,27.242,80.0239,← 293°,451,519,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:31:19 PM,27.2666,79.9598,← 293°,448,516,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:31:49 PM,27.292,79.8937,← 293°,449,517,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:32:19 PM,27.3165,79.8294,← 293°,449,517,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:32:49 PM,27.3407,79.7661,← 293°,449,517,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:33:19 PM,27.3653,79.7015,← 293°,450,518,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:33:49 PM,27.3902,79.636,← 293°,450,518,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:34:19 PM,27.4145,79.5721,← 293°,451,519,"38,000", Level, FlightAware ADS-B (LKO / VILK)
Mon 05:34:51 PM,27.4416,79.5005,← 293°,452,520,"38,000", Level, FlightAware ADS-B (VIDX)
Mon 05:35:21 PM,27.4661,79.4358,← 293°,454,522,"38,000", Level, FlightAware ADS-B (VIDX)
Mon 05:36:05 PM,27.5012,79.3431,← 293°,454,522,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:36:35 PM,27.5263,79.2766,← 293°,453,521,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:37:06 PM,27.5512,79.2105,← 293°,454,522,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:37:36 PM,27.5759,79.1448,← 293°,456,525,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:38:06 PM,27.6003,79.0798,← 293°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:38:36 PM,27.6254,79.0131,← 293°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:39:06 PM,27.6502,78.9467,← 293°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:39:36 PM,27.6747,78.8808,← 293°,457,526,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:40:06 PM,27.6994,78.8149,← 293°,457,526,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:40:36 PM,27.7238,78.7493,← 293°,456,525,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:41:07 PM,27.7483,78.6834,← 293°,457,526,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:41:37 PM,27.7731,78.6165,← 293°,457,526,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:42:07 PM,27.7975,78.5506,← 293°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:42:37 PM,27.8218,78.4849,← 293°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:43:07 PM,27.8466,78.4177,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:43:37 PM,27.8709,78.3514,← 293°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:44:07 PM,27.896,78.2834,← 293°,457,526,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:44:37 PM,27.9202,78.2175,← 293°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:45:07 PM,27.9441,78.1523,← 292°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:45:37 PM,27.9687,78.085,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:46:08 PM,27.9931,78.0181,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:46:38 PM,28.0174,77.9515,← 292°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:47:08 PM,28.0415,77.8852,← 292°,458,527,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:47:38 PM,28.0662,77.8174,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:48:08 PM,28.09,77.7516,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:48:38 PM,28.1139,77.6854,← 292°,460,529,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:49:08 PM,28.1383,77.618,← 292°,460,529,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:49:38 PM,28.1622,77.5516,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:50:08 PM,28.1863,77.4849,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:50:38 PM,28.2108,77.4164,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:51:08 PM,28.2351,77.3487,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:51:38 PM,28.2586,77.2831,← 292°,459,528,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:52:09 PM,28.2828,77.2153,← 292°,457,526,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:52:39 PM,28.3066,77.1484,← 292°,456,525,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:53:09 PM,28.3297,77.0837,← 292°,454,522,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 05:53:39 PM,28.3538,77.0161,← 292°,452,520,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 05:54:09 PM,28.3769,76.9509,← 292°,451,519,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:54:39 PM,28.3998,76.8862,← 292°,450,518,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:55:09 PM,28.4235,76.819,← 292°,449,517,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:55:39 PM,28.4472,76.7518,← 292°,450,518,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:56:09 PM,28.4699,76.6875,← 292°,449,517,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:56:39 PM,28.4928,76.6223,← 292°,448,516,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:57:09 PM,28.516,76.5563,← 292°,448,516,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:57:39 PM,28.5387,76.4913,← 292°,449,517,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:58:09 PM,28.5616,76.4259,← 292°,449,517,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:58:39 PM,28.5846,76.36,← 292°,450,518,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:59:09 PM,28.6076,76.2939,← 292°,452,520,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 05:59:39 PM,28.6307,76.2273,← 292°,453,521,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:00:09 PM,28.6538,76.1608,← 292°,453,521,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:00:39 PM,28.6768,76.0944,← 291°,453,521,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:01:09 PM,28.7,76.0272,← 291°,454,522,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:01:39 PM,28.7198,75.9603,← 285°,453,521,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:02:09 PM,28.7326,75.8896,← 279°,452,520,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:02:39 PM,28.7385,75.8209,← 273°,451,519,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:03:10 PM,28.738,75.7481,← 266°,451,519,"38,000", Level, FlightAware ADS-B (IXC / VICG)
Mon 06:03:54 PM,28.7285,75.6403,← 265°,450,518,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:04:24 PM,28.7226,75.5697,← 265°,449,517,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:04:54 PM,28.7164,75.4993,← 264°,448,516,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:05:24 PM,28.71,75.4279,← 264°,448,516,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:05:54 PM,28.7037,75.3577,← 264°,449,517,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:06:24 PM,28.6973,75.2869,← 264°,450,518,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:06:55 PM,28.6909,75.2159,← 264°,451,519,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:07:25 PM,28.6844,75.1451,← 264°,452,520,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:07:55 PM,28.6778,75.074,← 264°,454,522,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:08:25 PM,28.6712,75.0022,← 264°,455,524,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:08:55 PM,28.6647,74.9323,← 264°,455,524,"38,000", Level, FlightAware ADS-B (LUH / VILD)
